Screen title @ Exact,Cover title @ Exact,ID,Region,Release date,Developer,Publisher,Tags,MD5,SHA1,SHA256,SHA512
Alien³,Alien³@Alien³ エイリアン³,alien3,Japan,1993-07-09,BITS,Acclaim,#players:1 #genre:rpg>a #compatibility:gameboy>mono #based:movie #search:feature>alien #lang:ja,4f5c4c439f1134177e02d72c794882ba,4a3e7eb0edaefec096baa0019b3cba28b4796689,3dba55633d0ba1a6b0380d2555f107068aa5f7f6ecb2a6b3c8a18c45402e1c8a,17ea05bdca8153c3f90aba92cc23ed41eadd4c7d8b76adc0d2f991f20ebcf76f6e0e8b6be76a2a5821ad479e881b0bc6d6f96f99235222668731337d0c393c32
Alien vs Predator: The Last of His Clan,Alien vs Predator@Alien vs Predator エイリアンVSプレデター,alienvspredator,Japan,1993-09-24,ASK Kodansha,ASK Kodansha,#players:1 #genre:action>platformer #compatibility:gameboy>mono #based #search:feature>alien #lang:ja,ab916e1df69e7b3401cb6ebd3f1798a7,5b21dc4a7b48e75da725657d1ccde868759e5699,2219e71d83d08ac8734e14a8c33316f38256124d4763d2dcbbae3b3319fb6035,57a06697b0038676c4abd3c351cf7b709be5487631431eacdbacb49b557c87a5869c9f2c6d5e9d7d5bd1b096b0c531b0d6a4fe1e98aa80bb75772aac0b5ee0e8
Alleyway,Alleyway@Alleyway アレイウェイ,alleway,Japan,1989-04-21,Nintendo/Intelligent System,Nintendo,#players:1 #genre:action>blockbreaker #compatibility:gameboy>mono #lang:en,91128778a332495f77699eaf3a37fe30,0cf2b8d0428f389f5361f67a0cd1ace05a1c75cc,ed8070e011713527bdc03e2b9cec9f9c4a7e3aaa00e57e8786a186b265da1bb2,98d97ed40da0351f95699d595f220fe4e08100f05281e773cf0f201b6f14aff17ced597554df7ba1abd4ced98a26afc8fe2a42656bd53dbac2dd043a9dc08197 
Altered Space: A 3-D Alien Adventure,Altered Space: A 3-D Alien Adventure@Altered Space アルタード スペース A 3-D Alien Adventure,alteredspacea3daa,Japan,1991-11-29,Software Creations,Epic/Sony,#players:1 #genre:action>platformer #compatibility:gameboy>mono #lang:en,3208cc9ee33a163cd7cad242db3e1f4a,6d19dfedf2c916f13a524acfd7c4e26de040e655,5a1367f13cfae3e538cc53e25d7570e14b51942b4dfd479ce04767b2858115c0,e4c4eeaebf7ce60c437966b2b10b19881398e663c2d4e58d82980549c9268a857c360b556b6d29d463b002d247fea37ae7d1b3ff1ea6d6ea80f4365a6f1339a9
America Ōdan Ultra Quiz@アメリカ横断ウルトラクイズ,America Ōdan Ultra Quiz@アメリカ横断ウルトラクイズ,americaoudanultraquiz,Japan,1990-12-23,Tomy,Tomy,#players:4:vs #genre:quiz #compatibility:gameboy>mono #based #addon:link>gamelinkcable>fourplayeradapter #lang:en,c0ca6588162206b5982ba77bcf6397ce,9761f22250faf9c241fd7f9e2d00436f3fd454e7,2559c1a442175c04b06546f31b0906a73efa40a2596e1ac861bb232c7c486c9b,1e2f64ebeb5361366e7bad549c90b2b2b66803da659c5d73063f421d95338f464e7348e53b33bef9f29a377d0a3fd98d68267ef9690a69a191d4c5022ba2bae0
America Ōdan Ultra Quiz Part 2@アメリカ横断ウルトラクイズ Part 2,America Ōdan Ultra Quiz Part 2@アメリカ横断ウルトラクイズ Part 2,americaoudanultraquiz2,Japan,1991-12-20,Tomy,Tomy,#players:1 #genre:quiz #compatibility:gameboy>mono #based #lang:ja,9148245e7196c286506ad6b8bef73e35,34c417f6f9db7e8021fb1af6c12f22c9b48bb723,81cd7384e257deca14272b508aa5bff10f2bc15925655fc2cac90ad34ee434a6,5b1d757d501d2031944bcd5c1265e187d2002903874d391bb0058eafa47d2bc5a253cd8c6ededbee885cf311e0f9a46a908bf8692d6334c2283016e7365a9f50
America Ōdan Ultra Quiz Part 2@アメリカ横断ウルトラクイズ Part 2,America Ōdan Ultra Quiz Part 2@アメリカ横断ウルトラクイズ Part 2,americaoudanultraquiz2,Japan,,Tomy,Tomy,#players:1 #genre:quiz #compatibility:gameboy>mono #based #rev:1 #lang:ja,bc673971b4d2fd8914fb37d1b42e4610,cb3ed70f4d095405df2c322c528cab2a00d56557,b39ff165e7040805d8b17568e55b155cbc0bc807758a83f963df961e80249b87,b181f1052a200df6cb10b72c52feb8a2fa70228a3f229437f72f2f1bbd2d2892e18ee890c371c5a1cfcb1995d03d5f9c944dadc8e791d3943d841b1b1310a751
America Ōdan Ultra Quiz Part 3: Champion Taikai@アメリカ横断ウルトラクイズ Part 3 チャンピオン大会,America Ōdan Ultra Quiz Part 3: Champion Taikai@アメリカ横断ウルトラクイズ Part 3 チャンピオン大会,americaoudanultraquiz3,Japan,1992-11-27,Tomy,Tomy,#players:1 #genre:quiz #compatibility:gameboy>mono #based #lang:ja,ef84a328b1c87d22448accdb713a2329,61acfb83a35b2d73fad607ddd7fc1ac49e41492e,9667ac7a6cb86ec1a793882df590f5c48dea0bd26e80a63f2c04c7a1be3687ad,7817e9cd1ebdd07398dd7a1a3b38e02545e6058941f76464a56aad04222004b384e2c70ba19010c57f0523c243a91f86735b99d814a534830c0f00f9f99b7b96
America Ōdan Ultra Quiz Part 4アメリカ横断ウルトラクイズ Part 4,America Ōdan Ultra Quiz Part 4アメリカ横断ウルトラクイズ Part 4,americaoudanultraquiz4,Japan,1993-10-29,Tomy,Tomy,#players:1 #genre:quiz #compatibility:gameboy>mono #based #lang:ja,6f32e45cc1829ab2fc3048634b68d749,30184de60214b8d16d044433cd92f0b2a975e9d6,ed916f86596e3e33729961c147b1b5154f091e802e1c46f49b5e7373798be8ff,318c99a94b1832ec0b2154793804d251978836b9d98f7e568bb089a84853652bc5575ba49953eedf3d88f58bfb2de80bdf4438d869e816abe85df591b8d2543e
Amida@Amida 阿弥陀,Amida@アミーダくん 阿弥陀,amida,Japan,1990-10-23,Sofix,Coconuts,#players:1 #genre:action:puzzle #save:password #compatibility:gameboy>mono #lang:en,9642b7c599b47135cbd4e45e039d608d,2b502583aa73cb72557589791dec7e28a2d29969,c4eb652e47d458b8faba7fd753a3eff8e875658f2b4cee0ae6194dc8cb0783e7,2ec5a29f2390f367609b4cd24b978b1386350a7408f34c2bc580386099ccf7f459116075a19a4e4ea9bdd98a889f45aa5578dd61d5d38186cd8e775ce4a55a79
Animal Breeder@あにまるぶりーだー Animal Breeder,Animal Breeder@あにまるぶりーだー,animalbreeder,Japan,1997-09-11,J-Wing,J-Wing,#players:1 #genre:sim>life #compatibility:gameboy>mono>sgb #lang:ja,54cead768696a61b7cd31f91c0c58021,a34b7c4acc4454d96f93a7b04069adbcc3bc75a0,5d0f3973e8ed7c6ba5441e541f695cae42c438c24d00fb165468e09a9d46f5b0,4633faecfb64894695d96bcab4e6796c957ce6aaf83fb9a3faf40cc23a49578628fc3bc4905e1062df937ac5603b1533918b11161f29c59ebc13c25bd4bc61af
Animal Breeder 2@あにまるぶりーだー2,Animal Breeder 2@あにまるぶりーだー2,animalbreeder2,Japan,1998-05-15,J-Wing,J-Wing,#players:1 #genre:sim>life #compatibility:gameboy>mono>sgb #lang:ja,208b978e1ee53efa875cd6dfc42223f2,214d75221dbfb1a562740aa53e0239a73bee9a2d,c19a7b18db4e6de0695a870bc96a8234d4b94e3438591151fb7fc6e57dea88ff,e776b36f718f5d9eff3370d04f4e3122bcc8bfb4ef8a1a3f95c70b18b21ca1774ff492576593089feed44f44e9aeeb27f3dacbe982a2f490a11d34f42e3c8f57
Another Bible@アナザ・バイブル Another Bible,Another Bible@アナザ・バイブル,anotherbible,Japan,1995-03-03,Dice,Atlus,#players:1 #genre:rpg>s #compatibility:gameboy>mono>sgb #lang:ja,ff9196caa266ae36d409ce7e53ddc77a,6a5d0da889247169135665dc91f153305e1c71b6,6bed3341d31078b04faf22554804214992127e93b32c342359f44dd8f558b87e,f840a38ef5323288e9cddaf89ede522eb4eb8fd92f16435bee350ced9ee28a14f6991214719671aca3b676269d8c3af67a829d36e902356b79ce42978c460a88
Aoki Densetsu Shoot!@蒼き伝説シュート!,Aoki Densetsu Shoot!@蒼き伝説シュート!,aokidensetsushoot,Japan,1995-04-07,Affect,Banpresto,#players:1 #genre:sports>soccer #compatibility:gameboy>mono>sgb #based:manganime #lang:ja,6cbaaf40726a834ba7b3d7f179a140fe,95574e1eef5fbebde6f068091bc7298000ea2397,db1e1309cb5be3d89d54fe54bccec9518c67136c26de9ad43dded0d92809e445,88a8f44fca8a9b86d708c4b6deb79089fd06c52e57e3b0492b7cadf05481359492ba4ab8abcf41b1e71ca79f1178b10ac5bf5665efee70defd7a7483277d1c81
Aretha,Aretha@Aretha アレサ,aretha,Japan,1990-11-16,Japan Art Media,Yanoman,#players:1 #genre:rpg>j #embedded:backup>battery #save:backup #compatibility:gameboy>mono #lang:ja,9c23d37d51a593e82378dad038a52ef2,eab8f13d110634f4ee750ac93e4f25d91a85000f,b9bb5b4d3274a7f4c443bd8fb2bf5f1018358d76a54c01e3a53f7ff610fa4fa6,97b49d988ef647f74c42b35a29f1dcbd3e22114c28648abcbbb430da4608efe0f798cd1f4ebb6527272da69d302ff6057798fd9d92853712f1b0c27fa345403f
Aretha II,Aretha II @Aretha II アレサ II,aretha2,Japan,1991-09-27,Japan Art Media,Yanoman,#players:1 #genre:rpg>j #embedded:backup>battery #save:backup #compatibility:gameboy>mono #lang:ja,a3059206ef517091a475249ce6c0db4f,5634a05ea8e93af3dd0e41823576bf6295f8df1f,afaf5380f970c2f07ff585a84bab50295fd17888591511cc1d71e8d7ddad7599,b56b8836abecede8191f4539043be07e01f6b491d5a16d37c3ee5725dedcdae6d428e1e7577b62cd24bb4c01eaf97de4268d3b4db4b450c1b80b32c0a99c1cea
Aretha III,Aretha III @Aretha III アレサ III,aretha3,Japan,1992-10-16,Japan Art Media,Yanoman,#players:1 #genre:rpg>j #embedded:backup>battery #save:backup #compatibility:gameboy>mono #lang:ja,bb0cca048a51ddbae426221bb3d2e508,f57ff26d31283c88cc4c414b18ef6f182d07da9d,f7311a0a392183697b06b72929e480eaf11e856d44b9b218641465cfc4b29942,60f88ff1e081551557aa69a846e6857f788825e63ff2ba1837e923e8da585dc8a8791307fca9691d3af7f526d8d460bc23b533b1da809d37a0b2e1dabfc4766a
Asmik-kun World 2@アスミッくんワールド2,Asmik-kun World 2@アスミッくんワールド2,askimkunworld2,Japan,1991-05-24,Cyclone System,Asmik Ace,#players:1 #genre:puzzle #save:password #compatibility:gameboy>mono #lang:en,24db7b8d9080b1626dd949331ac40aca,4c738153a5c9f861117cc23cfedf2c37672e1097,edcd7350a4b716e023d4e709a7ebef1d573d8b4012ea40dfd0ec8d9be31d1da5,db02c93c91f0f6ec3cd809f8a48cfb57679fd2c35b0adcfb46acbb77bc0b4a7cf598641d8bc9c3745b374cc94625d144127e345dde0c5f3b3d473fd42df88a63
Astro Rabby,Astro Rabby@Astro Rabby アストロラビー,astrorabby,Japan,1990-10-12,IGS,IGS,#players:1 #genre:action>platformer #compatibility:gameboy>mono #lang:en,5a88b67ed5475e591747bc7956642456,3e53fd25f350c78a29e0642ee6de80208930d469,66a361f81b19af107577d36e792c731f61164c514559a86813786b83978b5b1c,0dfa7bb911b0b1a88733898559827e0f1f17c42aec29cefa29fac479aebb7ea1ab2f740c751b00c207e7fd942d83cc2768993546b627546578fef569d938f545
Attack of the Killer Tomatoes,Attack of the Killer Tomatoes@Attack of the Killer Tomatoes キラートマト,attackofthekillertomatoesgb,Japan,1993-03-19,Equilibrium,Altron,#players:1 #genre:action>platformer #compatibility:gameboy>mono #based #lang:en,ba556891321dbbc8dce857ca2cf7d417,96cd454513dfb363cda20bf0e72c6d74132a9487,620a8adf4cbf8d3f1394fea19bd83601d70ac3a93bc840351998c546bd145e00,4d21c663e619c83c8b50d83e5e73bf47a2ca27ff8e2eb7e3aeb5867f2f3bf9bb86ba921458190433846d3a6d4e1aefe8fe0deaf63e7ca20f397681c780602a28
Ayakashi no Shiro@あやかしの城,Ayakashi no Shiro@あやかしの城,ayanashinoshiro,Japan,1990-05-25,SETA,SETA,#players:1 #genre:rpg>j #embedded:backup>battery #save:backup #compatibility:gameboy>mono #lang:ja,8f3095c4d98694f19270d8c2788d5e46,dad3ec1a054cbd092eedfdb1d742b811c105181a,fee5c32ddc8e6c38d184cd100b9fc8651fd40d5b64e6df22f9f13f401a3fd885,79f3b3efbf9f89da025ff2fde4ff2f0253526fa4b4385d482fd7c232e4fa9a9af26fba62e9078034f4c29123c7bf8e26b9cd87fabfcf33ed271f9aba30e73583
Bakenō TV '94@馬券王TV'94,Bakenō TV '94@馬券王TV'94,bakenoutv94,Japan,1994-10-28,Graphic Research,Asmik Ace,#players:1 #genre:sim>derby #embedded:backup>battery #save:backup #compatibility:gameboy>mono>sgb #lang:ja,302f773a39fe0e45756b050ee94f0918,c567bdd1ca17750c853019f244e208fe812772fd,7dcfcb6e079edfaf39a78fd7bbdfd728e59010024de4d97a2e9bd69966f9a7b1,196980306f11a86884da27df626c6bd99e9ccbf8d5731aea395c5755819b073764d25ee933ed984c7b29147d5ca207ca6c449a09487409c313e9a1bba0d37781
Bakenō V3@馬券王V3,Bakenō V3@馬券王V3,bakenouv3,Japan,1993-12-17,Graphic Research,Asmik Ace,#players:1 #genre:sim>derby #embedded:backup>battery #save:backup #compatibility:gameboy>mono #lang:ja,614c8e744c8f07c6e3b29480478600d4,b1bf86f4ffb9af9c5f1c592f0cabedb95b405437,f667ca884e9de0420bad44a27e55e1b762eaf7317d6c8aadac3b48a4d658f9f7,8aa4e798837e9c7a12cd6fae6f7e1e38cbe8995e5dbb578b8a32948befaec947e1e22c17924731d4ce0abc81107341419b7252a973c1387d47042ff4c5cd7ec0
Bakuchō Retrieve Master@爆釣リトリーブマスター,Bakuchō Retrieve Master@爆釣リトリーブマスター,bakuchouretrievemaster,Japan,1998-10-15,TOSE,Konami,#players:1 #genre:rpg>j #compatibility:gameboy>mono>sgb #lang:ja,7d775680308fc232d1c6547124bab089,bfea17b22b3ac91366156d8db1a7dc619c7b5a28,ead03c064b8592297772c999e8538b8b1e90b5909a7fe567c238b947c9f71a74,107ca993fb04bee4e546d0428363d9a3375d5bfdfc4b90b69f9a06c67ab6ccf38d2973c9e3e765d5f7f42466513883d3c9296d95c3c816dfecd77d7ce6fca891
Bakuchō Retsuden Shō: Hyper Fishing@爆釣烈伝 翔 ハイパー・フィッシング,Bakuchō Retsuden Shō: Hyper Fishing@爆釣烈伝 翔 ハイパー・フィッシング,bakuchouretsudenshouhf,Japan,1998-07-24,Starfish,Starfish,#players:1 #genre:rpg>s #compatibility:gameboy>mono>sgb #lang:ja,7864d91f0a7ca1eec93667ba88ec1dfc,53808f56fa68ad8094d0e4ff62e06887b439be9a,485abdbc8a40b19b1de6b82b319ae14911841a249fea1eb49d167e005ca7ef4d,86db4130201ef5f8703c6a5ade5398570d8fe656e85c4d7b3a87161f212622089327557a20ff9227fec6766f2ab5797d928879ed7ca5d4b9a33707ca2b9b9c57
Banishing Racer@バニシングレーサー,Banishing Racer@バニシングレーサー,banishingracer,Japan,1991-07-26,Jaleco,Jaleco,#players:1 #genre:action>platformer #compatibility:gameboy>mono #lang:ja,8fdffb08770609255ec3cd314f79f976,df121645c367d5809ed77bfe48aa537f0d61d276,f5604bf06a00c5f449d0b5869f8721535f678dcd81ff0186315bd6b00acc1647,b862e56ff698353748dadd8bfed948b807f78aec44af7606a96fcff7c9c22b9531971c26649ffe0422aa8f4a63a6a8e3f34c4b63865138ce521beeb1ab678b71
Bart Simpson's Escape from Camp Deadly,Bart Simpson's Escape from Camp Deadly: Bart no Survival Camp@Bart Simpson's Escape from Camp Deadly バートのサバイバルキャンプ,bartsimpsonsescapefromcampdeadly,Japan,1993-02-26,Imagineering,Acclaim,#players:1 #genre:action>platformer #compatibility:gameboy>mono #based:simpsons #lang:en,0434a1320607ce8e79de69b10c7a1245,f0d855bba656b628c7dd9ed9e586853be75b790f,0ae4f084f69aa0c5506e03542d1812607e95b3d771e8a82925fb0c0afc6e5eeb,eff1e161458c43adc085d07c208d2b0aa8ad917e9b0e6be4c49e8d07cea995831cf08745fed88552153889440f4308bb15bd645aca3bee74d83dc58c1629e67f
Baseball,Baseball@Baseball ベースボール,baseball,Japan,1989-04-21,Nintendo,Nintendo,#players:2:vs #genre:sports>baseball #addon:link>gamelinkcable #compatibility:gameboy>mono #port:nintendo>famicom #lang:en,e7bcb3f5534c8363f855ba92d83cb2d9,bb613ed8d492d49db35370bec38d9f2515dc24c9,debc4ac9d7587166f4754d99955c8ed8c5ae014bb10e91764fe9e632cdbcb3fc,d22f580b7b138852eb74ea64fa83b8f928c171c5991ad53ef1e1cad500a36ed7430a76589b3c416862615215f0386bff342a7113edf63a407a1228bcc83cb398
Baseball Kids@ベースボールキッズ,Baseball Kids@ベースボールキッズ,baseballkids,Japan,1990-03-15,TOSE,Jaleco,#players:2:vs #genre:sports>baseball #addon:link>gamelinkcable #compatibility:gameboy>mono #lang:en,cb62a0dd667ff4fc2f4ebe6f0aef955f,e4a49a9ecd7a9ce8bb552981e90903f21c741428,844f18524468d05b1ec3981a55d28639514170ecb07a74754b11dde098bf5827,a7dcad5fe1c10e523c3927a66849363599fb58feacbd49d96d020c67c6bfff8e0958e2d57198791895a5ab7dc6bc397b5623f35a0b40e69e23663196abe1b5e5
Batman,Batman,batmangb,Japan,1990-04-13,Sunsoft,Sunsoft,#players:1 #genre:action>platformer #compatibility:gameboy>mono #based #search:feature>batman #lang:en,03c6d84a951be6703b7458478f4277b9,ef7d6684a0f737c01a1f2cc2c6609e0f3ac1310e,d0e4ff010ab013e519abd9950ab465f3369c76e23d82927c0f39b5e259d4febf,1dee9e698f6aa91836f96a5ac4611f76254b5a4a929ad0bd16c6e9830d6bb8a0e8ee9487ee4e584755a83099d9ccb43ab7f826b0166aa1f565d71441482e8a3b
Batman: Return of the Joker,Batman: Return of the Joker@Batman: Return of the Joker リターン　オフ　ザ　ジョーカー,batmanreturnofthejoker,Japan,1992-03-28,Sunsoft,Sunsoft,#players:1 #genre:action>platformer #compatibility:gameboy>mono #based #search:feature>batman #port:nintendo>famicom #lang:en,9550fadc917db38cacd0ecfb694f816c,149586120c3ae9c9614fa6e6a5e298cceae16c4d,a88b8b54948fc7e0550dc3e39f2bd2827dfdb71bc15e692f17c00d104f4bdbc4,6d62b7388c0d5b2aced46b54fa6d0d0856bf4a3146647121af1679c08df25e8739c339abe87207f1ce7c2692b3840d150fa2733f23cd5454e612510a1cb07a42
Batman Forever,Batman Forever@バットマンフォーエヴァー,batmanforever,Japan,1995-10-27,Probe,Acclaim,#players:1 #genre:action>platformer #compatibility:gameboy>mono #based:movie #search:feature>batman #lang:en,53d8596868fe081cef40ecc02d463ea3,4fab046d18addafbc625fe4cefec37098747d716,53bcc933db543b319d749110168012e06e07a08db3a27702f5eef603a1bb77cb,34bc3dd86b5fb5b2ab5e66475e19dc4bca063074e6b408d9f23fb8fa7f06098bce8cd5dc2a7e3025bcb673c2e89a21dbe4c5c3503d57a1d0452712a5639ed841
Battle Bull,Battle Bull@Battle Bull バトル・ブル,battlebull,Japan,1990-11-30,Jorudan,SETA,#players:2:vs #genre:action>maze #addon:link>gamelinkcable #save:password #compatibility:gameboy>mono #lang:en,a58ad38354f16e3e6777e91dedd9ce28,74ed574d2179bdf34a6e618a86be9b3e70155370,2e83c5299e5ded2ac6e491c7a593934164be7fda3c60922e803e8104edf6ace9,000a9343b6d9e10e6423700aa7e9e60f54b7ba9548d56003b2c53e6672116123740e2e9e72e43925c1f0d2a6cfaa8245e3a74d629067d576b771cddfab225f41
Battle Crusher@バトルクラッシャー,Battle Crusher@バトルクラッシャー,battlecrusher,Japan,1995-01-25,Sun L,Banpresto,#players:1 #genre:fighting #compatibility:gameboy>mono>sgb #based #search:feature>compatihero:manganime #search:feature>gundam #lang:ja,c2ab034ceb1dc42c96a7a9301c382d20,ae07172c69a7bdece4392016c6a6dd253623f5f8,2eb0708771791f2e126bd97e672a365c70c3d7064ecc391433545352133dad60,8a64befb09264898097df320b1bf12fdbdd3d1b0d3053189b812b5d76d3524382b77af655ccc538f492591e5a0e9081d6ce8d15e78db771868254a12ca6c5e8b
Battle Dodge Ball@バトルドッジボール,Battle Dodge Ball@バトルドッジボール,battledodgeball,Japan,1992-10-16,Sun L,Banpresto,#players:1 #genre:sports>dodgeball #compatibility:gameboy>mono #based #search:feature>compatihero:manganime #search:feature>gundam #lang:ja,9155b3e2a243be1703a09934b2b80724,ed63709af2dd22d2abaa7e99b9dd5373b6cc91c4,ef24d0ddd2388fdc56096c14b460c5e0f6b26c13ef014a46bfee1cb6220d594b,663b8b00332ed5e4472277e338bf5d49ba414da438500e7fae559ae489a1f663327bf9c16f3bc94f75a6e58dc1a0ccfab5a0e0b7760a9cbdc829115d94f0f48f
Battle of Kingdom,Battle of Kingdom@Battle of Kingdom バトルオブキングダム,battleofkingdom,Japan,1991-12-13,Lenar,Meldac,#players:1 #genre:sim>strategy #save:password #compatibility:gameboy>mono #lang:ja,f7aa9880db8e7884618ff0dcab6fba85,5761f47a09f91a373bda96840fe2560bff1ffc97,72e94819172659de737aefc7eb2f3a8a8b585054b29c20b02cb1baef22c32a53,599a9db434036f9998f14df3579e534333396614c69ac52280cd8cf75fc1737590fed045415e5e5e4e52a4410029935247b61d6147441c623dc05da62b4a22e3
